ICRF J105148.7+211952  1049+215    0.90    21.1     9.8    0.69    0.68    0.20    0.11    26.5    43
ICRF J041922.5+395528  0415+398    1.10    11.9    34.6    0.38    0.57    0.14    0.12    20.0    89
ICRF J140856.4-075226  1406-076    1.21    18.8   -10.4    0.51    0.43    0.38    0.47    28.7   206
ICRF J155658.8-791404  1549-790    1.41   -17.9   -39.2    3.43    0.74    0.17    0.03    23.6    26
ICRF J074640.4+273459  0743+277    0.91    39.6    44.5    0.76    0.38    0.50    0.32    20.2   102
ICRF J135052.7+303453  1348+308    1.11    28.8    32.3    1.43    0.86    0.88    0.69    20.1    55
ICRF J062923.7-195919  0627-199    1.31   -47.8   -14.1    0.48    0.89    0.27    0.28    19.1   177
ICRF J063920.9-334600  0637-337    1.42   126.5   -54.6    1.67    1.15    0.00    0.00    22.7    23
ICRF J020346.6+113445  0201+113    0.95     4.2     3.6    0.31    0.56    0.07    0.12    28.4   758
ICRF J225536.7+420252  2253+417    1.13     6.4   -23.3    3.46    0.63    1.46    0.34    28.2    53
ICRF J233355.2-234340  2331-240    1.31   -44.7    80.6    3.42    1.22    0.66    0.12    28.3    21
ICRF J042442.2-375620  0422-380    1.44     9.3   -56.1    0.87    0.78    0.57    0.29    25.8    80
ICRF J183250.1+283335  1830+285    0.96    -8.6    16.5    1.41    0.50    0.26    0.03    18.5    29
ICRF J053315.8+482252  0529+483    1.18    -9.6     5.1    0.39    0.26    0.04    0.07    20.1   364
ICRF J011857.2-214130  0116-219    1.32    26.4   -68.9    0.45    1.08    0.10    0.65    18.9    54
ICRF J194025.5-690756  1935-692    1.47   105.9   191.3    3.71    0.68    1.18    0.22    27.8    47
ICRF J144356.8+250144  1441+252    0.96    67.3   118.0    0.86    0.43    1.38    1.25    14.3    86
ICRF J071751.8+453803  0714+457    1.18    13.1   -20.6    0.58    0.29    0.21    0.10    19.9   143
ICRF J121546.7-173145  1213-172    1.35   -33.3    -2.1    1.08    0.72    0.36    0.34    29.6   185
ICRF J042840.4-375619  0426-380    1.49   -28.3   -78.2    0.57    0.45    0.65    0.52    26.4   111
ICRF J061357.6+130645  0611+131    1.03    28.5   -17.4    2.19    2.64    0.17    0.37    23.8    25
ICRF J101810.9+354239  1015+359    1.18    35.4    -4.3    0.54    0.34    0.39    0.24    20.0   118
ICRF J135706.0-174401  1354-174    1.38   -20.6   -89.5    2.68    1.37    0.57    0.43    13.9    31
ICRF J232917.7-473019  2326-477    1.54    12.6   -46.6    5.82    0.68    5.46    1.01    27.3   104
ICRF J214518.7+111527  2142+110    1.04    16.9   -40.7    0.84    0.68    0.89    0.53    21.0    40
ICRF J062419.0+385648  0620+389    1.19   -19.3    -0.5    0.57    0.46    0.05    0.02    21.1    25
ICRF J192451.0-291430  1921-293    1.40    -5.8     2.3    4.59    1.19    0.56    0.16    33.9  2182
ICRF J161630.6-710831  1611-710    1.58    -1.0   156.7    5.27    1.40    1.04    0.36    11.6    20
ICRF J051803.8+205452  0515+208    1.06    57.2   -26.6    0.43    1.00    0.50    0.54    20.6    69
ICRF J031301.9+412001  0309+411    1.20   -11.6   -16.7    0.46    0.51    0.34    0.12    28.5    63
ICRF J034957.8-210247  0347-211    1.46    57.0    63.3    0.64    0.57    0.95    0.47    19.0   107
ICRF J182912.4-581355  1824-582    1.62   -53.3  -143.9    5.12    1.18    0.60    0.32    11.4    23
ICRF J200241.9+150114  2000+148    1.07    -7.2  -144.9    0.93    0.48    1.00    0.61    20.5    41
ICRF J092058.4+444153  0917+449    1.21     5.7    14.0    0.63    0.29    0.19    0.04    28.2    52
ICRF J193926.6-152543  1936-155    1.51     2.1   -28.2    1.01    0.65    0.34    0.26    27.4   196
ICRF J074331.6-672625  0743-673    1.73    89.8   -34.8    1.50    0.52    1.05    0.15    24.1    31
ICRF J105829.6+013358  1055+018    1.07    10.1    -2.3    0.38    0.96    0.02    0.13    36.5   345
ICRF J165258.5+390249  1651+391    1.24    44.6    15.2    0.65    0.22    0.52    0.13    19.7    78
ICRF J204008.7-250746  2037-253    1.52   -12.7   -94.6    2.81    1.08    0.42    0.34    21.9    45
ICRF J044017.1-433308  0438-436    1.76   -27.9   -54.4    1.62    1.39    0.55    0.10    28.3    65
ICRF J121503.9+165437  1212+171    1.08  -101.1   -11.6    0.70    0.72    0.92    0.41    20.5    66
ICRF J200744.9+402948  2005+403    1.29   244.8  -164.1    5.43    1.30    0.00    0.00    34.9    20
ICRF J213410.3-015317  2131-021    1.53    42.1   -39.7    0.44    0.66    0.38    0.32    28.5   225
ICRF J110708.6-444907  1104-445    1.80   -43.2    13.5    4.74    0.80    1.03    0.22    29.3   552
ICRF J113320.0+004052  1130+009    1.09    -0.8    28.6    0.29    0.52    0.28    0.15    28.2    68
ICRF J030642.6+624302  0302+625    1.29     9.1    20.2    0.46    0.39    0.06    0.17    24.2    57
ICRF J014125.8-092843  0138-097    1.55   -46.9   -34.0    0.42    0.63    0.05    0.22    29.3    65
ICRF J064814.0-304419  0646-306    1.81    15.8   -47.6    0.93    0.88    0.28    0.47    27.3   128
ICRF J110214.2+275708  1059+282    1.09    32.2   -28.3    1.57    1.63    0.94    0.97    20.1    52
ICRF J022239.6+430207  0219+428    1.30    -9.0   -25.7    0.38    0.25    0.00    0.03    17.9    21
