## This list was generated at 2016-10-26 00:15:28
##format:
##soure  Num_ave    R.A.                 Decl.            
##                mean  Std  AStd WAd | mean  Std  AStd WAd
## Num_ave: Number of one-year average points
## unit: deg for mean while mas for the others
0945+408    7     147.2306       1.6547       8.4049       1.3398      40.6624       0.5911       6.6799       0.6265
0949+354    2     148.1334       0.7433       8.4049       0.0000      35.2146       0.4245       6.6799       0.0000
0951+268    4     148.6658       2.0397       2.6255       2.2069      26.6568       2.2476       2.8814       2.9014
0951+693    8     148.8882       1.1158       0.3035       0.2827      69.0653       0.4426       0.1266       0.1239
0952+179    6     148.7368       0.6523       0.1354       0.2150      17.7253       0.6038       0.1380       0.1383
0954+658   19     149.6969       1.2677       0.4436       0.4620      65.5652       0.5037       0.2021       0.1289
0955+326   10     149.5873       0.5436       0.5781       0.2716      32.4006       0.3228       0.5082       0.2449
0955+476   23     149.5820       0.7702       0.2013       0.1197      47.4188       0.3516       0.0841       0.0450
0958+346    6     150.2998       0.9323       0.6976       0.6933      34.4140       0.5049       0.4094       0.3328
1004-217    1     151.6934       1.1771       0.6976       0.0000     -21.9890       1.0346       0.4094       0.0000
1004-500    9     151.5584       6.3889       2.9134       0.9653     -50.3037       1.0403       0.6284       0.5460
1011+250    3     153.4726       0.8752       0.2024       0.2345      24.8212       0.3674       0.1159       0.0491
1012+232    8     153.6961       0.7052       0.3960       0.2329      23.0213       0.6947       0.2646       0.0966
1013+054    6     154.0131       0.3980       0.2672       0.2567       5.2173       1.2138       0.5595       0.5801
1013+127    1     153.9334       0.8862       0.2672       0.0000      12.4520       1.2632       0.5595       0.0000
1015+057    5     154.6160       0.2607       0.1337       0.1281       5.5083       0.3720       0.2127       0.2117
1015+359    8     154.5458       0.5372       6.2868       0.3866      35.7110       0.3417       2.8815       0.2424
1020+400    1     155.7982       0.7753       6.2868       0.0000      39.8043       0.3914       2.8815       0.0000
1022+194    8     156.1867       0.5018       0.2780       0.1067      19.2057       0.5042       0.1719       0.1029
1022-665    5     155.9314       3.9183       1.4212       1.5251     -66.7802       0.7917       0.2322       0.3470
1023+131    2     156.4845       0.8492       1.4212       0.0000      12.8970       0.6533       0.2322       0.0000
1027-186    5     157.3879       1.8820      28.5377       4.7562     -18.8806       1.4347       9.6076       1.4169
1030+415    8     158.2654       1.0893       0.4881       0.5444      41.2684       0.4665       0.2476       0.3596
1032-199   13     158.7590       1.0615       1.3900       0.5959     -20.1929       0.9258       0.4268       0.5967
1034-293   29     159.3170       2.6933       1.4260       0.5251     -29.5674       1.1054       0.2071       0.1999
1034-374    9     159.2227       3.3796       1.5590       1.4862     -37.7375       1.0743       0.3482       0.3238
1038+064   11     160.3215       0.4161       0.3855       0.0705       6.1714       0.7301       0.2323       0.0951
1038+528   19     160.4449       1.4259       0.7308       0.2604      52.5578       0.6058       0.3835       0.2976
1039+811   14     161.0961       1.0705       1.9569       0.4441      80.9110       0.2991       0.2859       0.1362
1040+244    7     160.7876       0.5709       0.1969       0.1852      24.1432       0.4123       0.1724       0.1359
1042+071    2     161.2330       0.2946       0.2072       0.2072       6.9273       0.7263       0.1458       0.1458
1045-188   10     162.0276       0.8002       0.4819       0.7690     -19.1599       0.7292       0.3128       0.4109
1048-313    6     162.7699       6.3497       4.1968       2.0180     -31.6373       1.1363       1.2512       0.5515
1049+215    5     162.9533       0.6884       0.1499       0.1989      21.3312       0.6760       0.1333       0.1081
1053+704   13     164.2234       1.1921       3.1685       0.5502      70.1961       0.3618       0.3109       0.2610
1053+815   24     164.5481       1.3877       0.4855       0.2630      81.2424       0.6557       0.1737       0.1067
1055+018   19     164.6234       0.3757       0.2328       0.0198       1.5663       0.9598       0.8944       0.1318
1057-797   25     164.6805       1.7996       0.8702       0.3086     -80.0650       0.5529       0.1582       0.0831
1059+282    4     165.5595       1.5701       0.7314       0.9394      27.9524       1.6254       1.2823       0.9678
1101+384   19     166.1138       0.8573       0.3934       0.2279      38.2088       0.3956       0.1543       0.1022
1101-536    9     165.9676       6.7197      10.3214       4.9681     -53.9502       1.0169       2.7234       1.2573
1104+728    3     166.9238       3.7894       0.5392       0.5581      72.5433       1.1395       0.2276       0.2355
1104-445   16     166.7862       4.7428       1.4339       1.0261     -44.8188       0.7991       0.5028       0.2180
1111+149   12     168.4946       4.1290       1.6365       0.6693      14.7075       3.3393       2.3302       0.4950
